供应商,供货商来货品名,图片, 单价（含采购运费） ,雷阳品名规格,"编码代码
（大类）","编码代码
（小类）",末位流水编号,雷阳货号,成本价（含打包费用及发货运费等）,子件货号,,最新采购价格日期
义乌市禾卉日用品厂,"跨境圆筒冰格硅胶冰块模具迷你大号冰桶冰块杯易脱膜制冰杯储冰盒 [快照]
颜色: 大号OP装黄色（8*9cm）",#NAME?, 2.96 ,圆筒冰块模具大号OP装黄色（8*9cm）,BG,01,0041,BG010041,3.32,,,
义乌市禾卉日用品厂,"跨境圆筒冰格硅胶冰块模具迷你大号冰桶冰块杯易脱膜制冰杯储冰盒 [快照]
颜色: 大号OP装灰色（8*9cm）",#NAME?, 2.96 ,圆筒冰块模具大号OP装灰色（8*9cm）,BG,01,0042,BG010042,3.32,,,
平阳县品序工艺品厂,跨境现货 硅胶冰桶 制冰杯硅胶制冰块器圆形大号硅胶冰酒桶格厂家 尺寸: OPP装,#NAME?, 5.60 ,冰桶13.5*13.5*15CM 980CL蓝色,BG,01,0043,BG010043,6.27,,,
鲁兴,冰淇淋分装瓶中号,#NAME?, 5.20 ,冰淇淋分装瓶中号,MZ,01,0040,MZ010040,5.82,,,
鲁兴,冰淇淋分装瓶小号,#NAME?, 5.05 ,冰淇淋分装瓶小号,MZ,01,0048,MZ010048,5.66,,,
鲁兴,冰淇淋分装瓶大号,#NAME?, 5.36 ,冰淇淋分装瓶大号,MZ,01,0049,MZ010049,6,,,
鲁兴,热气球分装瓶中号,#NAME?, 4.92 ,热气球分装瓶中号,MZ,01,0041,MZ010041,5.51,,,
鲁兴,热气球分装瓶小号,#NAME?, 4.80 ,热气球分装瓶小号,MZ,01,0046,MZ010046,5.38,,,
鲁兴,热气球分装瓶大号,#NAME?, 5.15 ,热气球分装瓶大号,MZ,01,0047,MZ010047,5.77,,,
鲁兴,猫爪雪糕支架粉色,#NAME?, 3.00 ,猫爪雪糕支架粉色,BG,02,0001,BG020001,3.36,,,
鲁兴,猫爪雪糕支架绿色,#NAME?, 3.00 ,猫爪雪糕支架绿色,BG,02,0002,BG020002,3.36,,,
鲁兴,猫爪雪糕支架黄色,#NAME?, 3.00 ,猫爪雪糕支架黄色,BG,02,0003,BG020003,3.36,,,
鲁兴,猫爪雪糕支架蓝色,#NAME?, 3.00 ,猫爪雪糕支架蓝色,BG,02,0004,BG020004,3.36,,,
义乌市兆策电子商务商行,卡通儿童吃冰棒棍雪糕冰淇淋神器防滴漏支架便携免脏保护套托盘子 规格: 雪糕 支架【粉色】,#NAME?, 1.19 ,雪糕防滴漏支架粉色,BG,02,0005,BG020005,1.33,,,
义乌市兆策电子商务商行,卡通儿童吃冰棒棍雪糕冰淇淋神器防滴漏支架便携免脏保护套托盘子 规格: 雪糕 支架【兰色】,#NAME?, 1.19 ,雪糕防滴漏支架蓝色,BG,02,0006,BG020006,1.33,,,
义乌市兆策电子商务商行,卡通儿童吃冰棒棍雪糕冰淇淋神器防滴漏支架便携免脏保护套托盘子 规格: 雪糕 支架【黄色】,#NAME?, 1.19 ,雪糕防滴漏支架黄色,BG,02,0007,BG020007,1.33,,,
义乌市兆策电子商务商行,卡通儿童吃冰棒棍雪糕冰淇淋神器防滴漏支架便携免脏保护套托盘子 规格: 雪糕 支架【绿色】,#NAME?, 1.19 ,雪糕防滴漏支架绿色,BG,02,0008,BG020008,1.33,,,
义乌市晨梦家居用品有限公司,硅胶雪糕模具儿童自制DIY冰淇淋奶酪棒模 卡通带盖果冻布丁棒冰盒 颜色: 卡通蓝色,#NAME?, 4.14 ,雪糕模具卡通蓝色,BG,02,0009,BG020009,4.64,,,
义乌市晨梦家居用品有限公司,硅胶雪糕模具儿童自制DIY冰淇淋奶酪棒模 卡通带盖果冻布丁棒冰盒 颜色: 卡通粉色,#NAME?, 4.05 ,雪糕模具卡通粉色,BG,02,0010,BG020010,4.54,,,
义乌市晨梦家居用品有限公司,硅胶雪糕模具儿童自制DIY冰淇淋奶酪棒模 卡通带盖果冻布丁棒冰盒 颜色: 熊掌粉色,#NAME?, 4.14 ,雪糕模具熊掌粉色,BG,02,0011,BG020011,4.64,,,
义乌市晨梦家居用品有限公司,硅胶雪糕模具儿童自制DIY冰淇淋奶酪棒模 卡通带盖果冻布丁棒冰盒 颜色: 熊掌黄色,#NAME?, 4.05 ,雪糕模具熊掌黄色,BG,02,0012,BG020012,4.54,,,
义乌市晨梦家居用品有限公司,硅胶雪糕模具儿童自制DIY冰淇淋奶酪棒模 卡通带盖果冻布丁棒冰盒 颜色: 卡通黄色,#NAME?, 4.05 ,雪糕模具卡通黄色,BG,02,0013,BG020013,4.54,,,
义乌市晨梦家居用品有限公司,硅胶雪糕模具儿童自制DIY冰淇淋奶酪棒模 卡通带盖果冻布丁棒冰盒 颜色: 水果菠萝粉色,#NAME?, 4.05 ,雪糕模具水果粉色,BG,02,0014,BG020014,4.54,,,
义乌市晨梦家居用品有限公司,硅胶雪糕模具儿童自制DIY冰淇淋奶酪棒模 卡通带盖果冻布丁棒冰盒 颜色: 水果菠萝蓝色,#NAME?, 4.05 ,雪糕模具水果蓝色,BG,02,0021,BG020021,4.54,,,
义乌市晨梦家居用品有限公司,硅胶雪糕模具儿童自制DIY冰淇淋奶酪棒模 卡通带盖果冻布丁棒冰盒 颜色: 水果菠萝黄色,#NAME?, 4.05 ,雪糕模具水果黄色,BG,02,0022,BG020022,4.54,,,
义乌市晨梦家居用品有限公司,硅胶雪糕模具儿童自制DIY冰淇淋奶酪棒模 卡通带盖果冻布丁棒冰盒 颜色: 熊掌蓝色,#NAME?, 4.05 ,雪糕模具熊掌蓝色,BG,02,0015,BG020015,4.54,,,
鲁兴,儿童雪糕冰棍冰淇淋防滴漏托盘支架2合1可重复使用防脏手滴落ice 颜色: 紫色（单个OPP袋）,#NAME?, 1.20 ,雪糕托盘支架紫色,BG,02,0016,BG020016,1.34,,,
鲁兴,儿童雪糕冰棍冰淇淋防滴漏托盘支架2合1可重复使用防脏手滴落ice 颜色: 绿色（单个OPP袋）,#NAME?, 1.20 ,雪糕托盘支架绿色,BG,02,0017,BG020017,1.34,,,
鲁兴,儿童雪糕冰棍冰淇淋防滴漏托盘支架2合1可重复使用防脏手滴落ice 颜色: 黄色（单个OPP袋）,#NAME?, 1.20 ,雪糕托盘支架黄色,BG,02,0018,BG020018,1.34,,,
鲁兴,儿童雪糕冰棍冰淇淋防滴漏托盘支架2合1可重复使用防脏手滴落ice 颜色: 黄色（单个OPP袋）,#NAME?, 1.20 ,雪糕托盘支架红色,BG,02,0019,BG020019,1.34,,,
鲁兴,儿童雪糕冰棍冰淇淋防滴漏托盘支架2合1可重复使用防脏手滴落ice 颜色: 黄色（单个OPP袋）,#NAME?, 4.80 ,雪糕托盘支架红+黄+緑+紫4PCS,BG,02,0020,BG020020,5.38,,,
阳江市欣安光电材料有限公司,"厂家现货饭勺不粘锅硅胶家用饭更不粘米饭食品级耐高温饭勺 [快照]
尺寸: 红色",#NAME?, 1.45 ,不粘锅硅胶饭勺红色,CJ,01,0001,CJ010001,1.62,,,
阳江市欣安光电材料有限公司,"厂家现货饭勺不粘锅硅胶家用饭更不粘米饭食品级耐高温饭勺 [快照]
尺寸: 黑色",#NAME?, 1.45 ,不粘锅硅胶饭勺黑色,CJ,01,0002,CJ010002,1.62,,,
阳江市江城区智佳五金制品厂,高级灰硅胶锅铲汤勺不粘锅专用炒菜铲子食品级家用铲勺套装一体 尺寸: 白灰双色硅胶 四件套,#NAME?, 8.12 ,铲勺套装一体四件套白色,CJ,01,0003,CJ010003,9.09,,,
,宝雄硅胶制品厂,#NAME?, 4.20 ,铲勺套装一体三件套白色,CJ,01,0003-3,CJ010003-3,4.7,,已录聚水潭,
阳江市爱尚工贸有限公司,现货玉子烧铲不粘锅专用铲半透硅胶煎铲煎蛋宽面铲煎锅厨房工具 尺寸: 头粉柄绿,#NAME?, 1.80 ,不粘锅专用铲头粉柄绿玉米铲,CJ,01,0004,CJ010004,2.02,,,
阳江市江城区振欣五金经营部,"硅胶锅铲中华铲 耐高温一体硅胶锅铲硅胶汤勺 食品级不粘锅铲套装 [快照]
尺寸: 红色  套件数量: 五件套",#NAME?, 8.50 ,漏勺汤勺套装厨具五件套红色,CJ,01,0005,CJ010005,9.52,,,10月22日
